item_id,description,manufacturer_name
01-220,1/2 CHRMD PLSTC FLR&CLG PLT,FPP
01-221,3/4 CHRMD PLSTC FLR&CLG PLT,FPP
01-222,1 CHRMD PLSTC FLR & CLG PLATE,FPP
01-223,11/4 CHRMD PLSTC FLR&CLG PLT,FPP
01-224,1 1/2 CHRMD PLSTC FLR&CLG PLT,FPP
01-225,2 CHRMD PLSTC FLR&CLG PLT,FPP
0122565,1 1/4 x 1 LF7-10-U3,WAT
0122586,H7DUAL CHK VLV W/HOSE CONCT LF,WAT
0122588,"1"" LF07S DUAL CHECK VALVE",WAT
01-226,2 1/2 CHRMD PLSTC FLR&CLG PLT,FPP
01-227,3 CHRMD PLSTC FLR&CLG PLATE,FPP
01-228,4 CHRMD PLSTC FLR&CLG PLATE,FPP
01228A,"GASKET,
01-229,5 CHRMD PLSTC FLR&CLG PLATE,FPP
01-230,6 CHRMD PLSTC FLR&CLG PLATE,FPP
01-231,8 CHRMD PLSTC FLR&CLG PLATE,FPP
01-232,1/2"""" WHITE PL SPLIT PLATE""",FPP
01232A,"RUBBER,
01-233,Floor and Ceiling Plate Split,FPP
01-234,1 WHITE FL & CEILING PLT,FPP
01-235,1 1/4 WHITE FL & CEIL PLT,FPP
01-236,1 1/2 WHITE FL & CEIL PLT,FPP
01236A,CLAPPER",
01-237,2 WHITE FL & CEILING PLT,FPP
01-240,4 WHITE FL & CEILING PLT,FPP
01240A,"CAP,
01-241,PLASTIC WALL PLATE 5"""" WHITE""",FPP
01-242,6 WHITE FL & CEILING PLATE,FPP
01-243,8 WHITE FL & CEILING PLATE,FPP
01260A,"CAP,CAP",
01274A,"SCW,
01-300,1"""" IPS CI GALV WALL PLATE""",FPP
01-301,"11/4"" IPS CI GALV WALL PLATE",FPP
01-302,"11/2"" IPS CI GALV WALL PLATE",FPP
01-303,"2"" IPS CI GALV WALL PLATE",FPP
01-304,"21/2"" IPS CI GALV WALL PLATE",FPP
01-305,"3"" IPS CI GALV WALL PLATE",FPP
01-306,"4"" IPS CI GALV WALL PLATE",FPP
01307A,"RETAINER,RETAINER",
01353BA,"INSERT,INSERT",
01353BJ,"INSERT,INSERT",
01354BA,"INSERT,INSERT",
01354BJ,"INSERT,INSERT",
01355BA,"INSERT,INSERT",
01355BJ,"INSERT,INSERT",
01356BA,"INSERT,INSERT",
01356BJ,"INSERT,INSERT",
01357BA,"INSERT,INSERT",
01357BJ,"INSERT,INSERT",
01362BA,"INSERT,INSERT",
01362BJ,"INSERT,INSERT",
01363BA,"INSERT,INSERT",
01363BJ,"INSERT,INSERT",
01364BA,"INSERT,INSERT",
01364BJ,"INSERT,INSERT",
01365CA,"BODY,BODY",
01365CJ,"BODY,BODY",
01366CA,"BODY,BODY",
01366CJ,"BODY,BODY",
01367CA,"BODY,BODY",
01367CJ,"BODY,BODY",
